File,MUESTRA_2_12_22.csv,
Date/Time,23-03-18/07:18,

Center Wavelength,1545.1,nm
Span Wavelength,90,nm
Start Wavelength,1500.1,nm
Stop Wavelength,1590.1,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.093,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500.1,nm
Stop,1590.1,nm
1500.100000,1.0500E-008
1500.145000,4.9590E-009
1500.190000,5.3370E-008
1500.235000,-1.5970E-008
1500.280000,1.7080E-008
1500.325000,3.8410E-009
1500.370000,3.7280E-008
1500.415000,7.5990E-009
1500.460000,1.1210E-008
1500.505000,2.4710E-008
1500.550000,-3.2670E-008
1500.595000,-9.1980E-009
1500.640000,1.2470E-008
1500.685000,3.3430E-009
1500.730000,4.2350E-008
1500.775000,-1.9680E-008
1500.820000,1.2970E-008
1500.865000,3.9760E-008
1500.910000,1.7990E-009
1500.955000,3.2890E-008
1501.000000,2.1410E-008
1501.045000,2.1480E-008
1501.090000,6.5600E-009
1501.135000,4.7550E-008
1501.180000,4.5150E-008
1501.225000,1.6820E-008
1501.270000,1.5860E-008
1501.315000,2.6950E-008
1501.360000,-4.8680E-009
1501.405000,-7.1270E-009
1501.450000,-2.8650E-009
1501.495000,5.7430E-008
1501.540000,1.0460E-008
1501.585000,-1.6560E-008
1501.630000,2.3140E-008
1501.675000,3.1690E-008
1501.720000,-1.2570E-008
1501.765000,4.2620E-011
1501.810000,-1.5210E-008
1501.855000,-2.9050E-008
1501.900000,-9.7590E-009
1501.945000,-2.7310E-008
1501.990000,3.7860E-008
1502.035000,3.2490E-008
1502.080000,-1.1600E-008
1502.125000,-1.5900E-008
1502.170000,4.1340E-008
1502.215000,5.8640E-009
1502.260000,-3.0410E-008
1502.305000,1.6240E-008
1502.350000,2.6370E-008
1502.395000,4.2520E-008
1502.440000,1.3180E-008
1502.485000,3.5450E-008
1502.530000,2.1120E-008
1502.575000,2.2840E-008
1502.620000,4.8620E-008
1502.665000,2.0290E-008
1502.710000,-1.0390E-008
1502.755000,1.3670E-008
1502.800000,2.7490E-008
1502.845000,1.0820E-008
1502.890000,1.1830E-009
1502.935000,3.2490E-008
1502.980000,-2.1390E-008
1503.025000,-2.6880E-009
1503.070000,2.1000E-008
1503.115000,5.4520E-009
1503.160000,1.7180E-008
1503.205000,5.2350E-008
1503.250000,5.1580E-008
1503.295000,7.4140E-008
1503.340000,8.7830E-009
1503.385000,-1.1740E-008
1503.430000,3.7630E-008
1503.475000,-2.2200E-008
1503.520000,2.0770E-008
1503.565000,3.9170E-008
1503.610000,-1.7840E-008
1503.655000,-3.7470E-009
1503.700000,1.1170E-008
1503.745000,2.0670E-008
1503.790000,-1.9310E-009
1503.835000,6.3350E-008
1503.880000,2.8140E-008
1503.925000,1.8440E-008
1503.970000,2.8230E-008
1504.015000,3.0190E-008
1504.060000,-2.4990E-008
1504.105000,-3.6510E-009
1504.150000,-7.4210E-008
1504.195000,2.6850E-008
1504.240000,1.6590E-008
1504.285000,2.6810E-009
1504.330000,2.9400E-008
1504.375000,8.6200E-009
1504.420000,-2.2530E-008
1504.465000,-1.6930E-008
1504.510000,1.2170E-008
1504.555000,2.8320E-008
1504.600000,4.5740E-008
1504.645000,1.3070E-008
1504.690000,2.5750E-008
1504.735000,2.1380E-008
1504.780000,1.1130E-008
1504.825000,3.8500E-008
1504.870000,-1.3340E-008
1504.915000,-1.4580E-008
1504.960000,2.0300E-009
1505.005000,3.7980E-008
1505.050000,2.4760E-008
1505.095000,-1.3470E-008
1505.140000,3.2460E-008
1505.185000,-5.2910E-009
1505.230000,1.2080E-009
1505.275000,3.9420E-008
1505.320000,1.4840E-008
1505.365000,1.6070E-008
1505.410000,2.6440E-008
1505.455000,4.4120E-008
1505.500000,1.2780E-008
1505.545000,-2.4480E-009
1505.590000,-3.4640E-008
1505.635000,7.2840E-008
1505.680000,1.9140E-009
1505.725000,-2.6960E-008
1505.770000,1.3480E-008
1505.815000,3.0480E-009
1505.860000,2.7390E-008
1505.905000,2.7280E-008
1505.950000,4.4610E-008
1505.995000,5.9570E-008
1506.040000,-3.3710E-009
1506.085000,1.2770E-008
1506.130000,-6.9460E-009
1506.175000,2.1490E-008
1506.220000,1.2300E-008
1506.265000,2.8470E-009
1506.310000,9.7350E-009
1506.355000,-1.7560E-008
1506.400000,5.4280E-009
1506.445000,-4.0530E-008
1506.490000,6.2940E-008
1506.535000,2.7720E-008
1506.580000,1.8000E-008
1506.625000,4.2510E-009
1506.670000,3.2520E-008
1506.715000,3.1000E-008
1506.760000,-1.7920E-008
1506.805000,-1.3000E-008
1506.850000,1.2220E-008
1506.895000,4.6500E-008
1506.940000,-3.1390E-008
1506.985000,1.9120E-008
1507.030000,-3.1660E-008
1507.075000,3.3800E-008
1507.120000,3.0950E-008
1507.165000,8.3920E-009
1507.210000,2.4000E-009
1507.255000,-2.8040E-008
1507.300000,5.1510E-008
1507.345000,2.9910E-009
1507.390000,-2.4500E-008
1507.435000,3.0380E-008
1507.480000,2.0170E-008
1507.525000,-5.5760E-009
1507.570000,2.4220E-008
1507.615000,-1.4280E-008
1507.660000,9.6420E-009
1507.705000,4.7780E-008
1507.750000,1.4950E-008
1507.795000,1.7160E-010
1507.840000,1.0080E-008
1507.885000,-1.9410E-009
1507.930000,1.7370E-008
1507.975000,1.6150E-008
1508.020000,9.8640E-009
1508.065000,2.5740E-008
1508.110000,5.2690E-009
1508.155000,-4.4110E-009
1508.200000,1.3920E-008
1508.245000,7.3740E-008
1508.290000,6.1450E-008
1508.335000,8.3090E-009
1508.380000,-4.9280E-009
1508.425000,1.3230E-008
1508.470000,4.6320E-008
1508.515000,1.8760E-008
1508.560000,-4.2820E-008
1508.605000,2.3180E-008
1508.650000,-3.1450E-008
1508.695000,3.6840E-008
1508.740000,2.3400E-008
1508.785000,4.4100E-008
1508.830000,4.9390E-008
1508.875000,1.5190E-008
1508.920000,-7.2420E-009
1508.965000,3.8140E-009
1509.010000,1.8550E-008
1509.055000,-3.9230E-008
1509.100000,-2.7780E-008
1509.145000,1.2400E-008
1509.190000,-2.1160E-009
1509.235000,-1.0490E-008
1509.280000,3.0410E-008
1509.325000,5.0200E-009
1509.370000,1.4890E-008
1509.415000,8.5570E-009
1509.460000,3.3650E-009
1509.505000,4.4010E-008
1509.550000,8.3440E-009
1509.595000,2.4190E-009
1509.640000,-2.8150E-008
1509.685000,-2.1260E-008
1509.730000,7.2290E-008
1509.775000,-2.3140E-008
1509.820000,6.9000E-008
1509.865000,-1.3860E-008
1509.910000,4.8130E-008
1509.955000,1.3330E-008
1510.000000,6.9270E-008
1510.045000,-3.4000E-008
1510.090000,-1.6250E-009
1510.135000,4.8220E-008
1510.180000,4.2390E-009
1510.225000,1.1890E-008
1510.270000,1.6140E-009
1510.315000,1.7390E-008
1510.360000,-1.2060E-008
1510.405000,6.7740E-008
1510.450000,7.6230E-009
1510.495000,-3.7070E-008
1510.540000,8.1190E-009
1510.585000,6.2940E-008
1510.630000,6.4300E-008
